date,open,close,high,low,volume
1989-08-07,43.0000,10.1700,44.0000,42.6300,6012000
1989-08-04,41.2500,9.9400,42.7500,41.1300,6564400
1989-08-03,40.5000,9.5900,41.5000,40.5000,6185600
1989-08-02,39.7500,9.4100,40.5000,39.5000,3633600
1989-08-01,39.7500,9.2700,40.2500,39.2500,4996800
1989-07-31,39.2500,9.2400,40.0000,39.0000,4014800
1989-07-28,39.2500,9.1500,39.7500,39.0000,4274400
1989-07-27,38.2500,9.1200,39.5000,38.0000,6193200
1989-07-26,38.2500,8.8900,38.5000,37.7500,8363600
1989-07-25,39.2500,9.0100,39.7500,38.0000,7502400
1989-07-24,39.7500,9.1200,39.7500,39.2500,4154800
1989-07-21,39.7500,9.3000,40.0000,39.0000,4993600
1989-07-20,40.7500,9.3000,41.2500,39.7500,8448800
1989-07-19,39.5000,9.4100,40.7500,39.0000,8543200
1989-07-18,40.7500,9.1200,40.7500,38.7500,17050800
1989-07-17,40.7500,9.4700,41.2500,39.7500,4694400
1989-07-14,40.7500,9.4700,41.0000,39.7500,9206800
1989-07-13,40.0000,9.4400,41.0000,39.5000,8057600
1989-07-12,39.7500,9.3000,40.2500,39.5000,4452000
1989-07-11,40.7500,9.2400,41.0000,39.7500,8729200
1989-07-10,41.0000,9.4100,41.2500,40.0000,7294400
1989-07-07,41.2500,9.5900,42.0000,40.5000,3806400
1989-07-06,40.7500,9.5900,41.7500,40.2500,6218000
1989-07-05,40.5000,9.4100,40.7500,40.0000,4264400
1989-07-03,41.7500,9.4700,41.7500,40.7500,1730800
1989-06-30,40.5000,9.5900,41.7500,39.5000,5885600
1989-06-29,41.0000,9.4400,41.2500,40.0000,8351200
1989-06-28,42.2500,9.7000,42.2500,41.0000,9190800
1989-06-27,43.7500,9.9100,44.2500,42.5000,3788000
1989-06-26,44.0000,10.1100,44.0000,43.2500,6568800
1989-06-23,43.2500,10.2000,44.2500,43.2500,4438800
1989-06-22,42.5000,10.0500,43.7500,42.0000,4911200
1989-06-21,43.0000,9.8800,43.5000,42.2500,4659200
1989-06-20,44.0000,10.0000,44.0000,42.2500,4807600
1989-06-19,44.5000,10.2300,44.7500,43.5000,6551200
1989-06-16,44.7500,10.3400,45.5000,43.5000,19378000
1989-06-15,49.5000,11.0400,49.7500,47.5000,5766800
1989-06-14,49.0000,11.5400,50.2500,48.2500,8983600
1989-06-13,47.5000,11.2700,48.7500,47.0000,8254400
1989-06-12,46.7500,11.0400,47.7500,46.2500,2892400
1989-06-09,47.2500,10.9300,47.7500,46.5000,3378800
1989-06-08,48.5000,11.0700,49.0000,47.2500,6378800
1989-06-07,46.7500,11.2200,48.5000,46.7500,6293200
1989-06-06,46.7500,10.8700,47.0000,46.2500,5189200
1989-06-05,48.7500,10.9300,49.0000,46.5000,4451200
1989-06-02,48.5000,11.3900,49.5000,48.5000,4448800
1989-06-01,47.7500,11.3300,49.2500,47.5000,6416800
1989-05-31,47.5000,11.1000,48.1300,47.0000,4134400
1989-05-30,48.2500,11.0400,49.0000,47.3800,4018000
1989-05-26,48.2500,11.2700,49.0000,48.0000,4028800
1989-05-25,47.2500,11.2200,49.0000,47.2500,8309200
1989-05-24,45.2500,11.1000,47.7500,45.2500,10645200
1989-05-23,46.0000,10.5800,46.0000,45.2500,4803600
1989-05-22,45.7500,10.6900,46.2500,45.2500,6800000
1989-05-19,44.7500,10.6100,46.2500,44.7500,11820800
1989-05-18,45.2500,10.3800,45.5000,44.7500,7558800
1989-05-17,45.2500,10.5000,45.5000,45.0000,8892400
1989-05-16,46.0000,10.5300,46.2500,45.0000,8170800
1989-05-15,44.7500,10.6700,46.2500,44.7500,11372400
1989-05-12,44.5000,10.4400,45.0000,44.0000,16685600
1989-05-11,43.2500,10.1800,44.2500,43.0000,10763600
1989-05-10,43.0000,10.0300,43.5000,42.5000,8380000
1989-05-09,42.0000,9.8600,43.0000,42.0000,12398800
1989-05-08,41.5000,9.8000,42.2500,41.5000,7373600
1989-05-05,42.5000,9.6300,42.7500,41.5000,16464400
1989-05-04,40.2500,9.5100,41.2500,40.0000,6762000
1989-05-03,39.7500,9.3400,40.7500,39.7500,7896800
1989-05-02,39.0000,9.2500,40.2500,39.0000,7719200
1989-05-01,38.5000,9.0500,39.2500,38.5000,2881200
